label,value
0115 Piiholo,0115_Piiholo
0116 Keokea,0116_Keokea
0118 Pulehu,0118_Pulehu
0119 KulaAg,0119_KulaAg
0121 Lipoa,0121_Lipoa
0131 LahainaWTP,0131_LahainaWTP
0132 Olowalu,0132_Olowalu
0141 Auwahi,0141_Auwahi
0143 Nakula,0143_Nakula
0144 Kahikinui,0144_Kahikinui
0145 UpperKahikinui,0145_UpperKahikinui
0151 ParkHQ,0151_ParkHQ
0152 NeneNest,0152_NeneNest
0153 Summit,0153_Summit
0154 Waikamoi,0154_Waikamoi
0155 EMIBaseYard,0155_EMIBaseYard
0161 PohakuPalaha,0161_PohakuPalaha
0162 Treeline,0162_Treeline
0164 BigBog,0164_BigBog
0165 Hamoa,0165_Hamoa
0166 KipahuluVC,0166_KipahuluVC
0201 Nahuku,0201_Nahuku
0202 Keaau,0202_Keaau
0203 Olaa,0203_Olaa
0204 Pahoa,0204_Pahoa
0211 Kanakaleonui,0211_Kanakaleonui
0212 Kulaimano,0212_Kulaimano
0213 Piihonua,0213_Piihonua
0221 Kaluamakani,0221_Kaluamakani
0222 Aipalaoa,0222_Aipalaoa
0231 Kaiholena,0231_Kaiholena
0241 Keahuolu,0241_Keahuolu
0242 KaiauluPuuWaawaa,0242_KaiauluPuuWaawaa
0243 KonaHema,0243_KonaHema
0244 Kealakekua,0244_Kealakekua
0245 KipukaNui,0245_KipukaNui
0251 Kehena,0251_Kehena
0252 Lalamilo,0252_Lalamilo
0281 IPIF,0281_IPIF
0282 Spencer,0282_Spencer
0283 Laupahoehoe,0283_Laupahoehoe
0286 Palamanui,0286_Palamanui
0287 Mamalahoa,0287_Mamalahoa
0288 PuuWaawaa,0288_PuuWaawaa
0411 Keopukaloa,0411_Keopukaloa
0412 Honolimaloo,0412_Honolimaloo
0431 Anapuka,0431_Anapuka
0501 Lyon,0501_Lyon
0502 NuuanuRes1,0502_NuuanuRes1
0503 UpperWaolani,0503_UpperWaolani
0504 Waolani,0504_Waolani
0505 Napuumaia,0505_Napuumaia
0506 Kalawahine,0506_Kalawahine
0520 KaalaRepeater,0520_KaalaRepeater
0521 Kaala,0521_Kaala
0541 KaaawaMakai,0541_KaaawaMakai
0551 KalaheeRidge,0551_KalaheeRidge
0601 Waipa,0601_Waipa
0602 CommonGround,0602_CommonGround
0603 LowerLimahuli,0603_LowerLimahuli
0604 UpperLimahuli,0604_UpperLimahuli
0605 PowerlineTrail,0605_PowerlineTrail
0621 LawaiNTBG,0621_LawaiNTBG
